candidate_id,rank,score,reasoning
CAND_0071974,1,0.9900,"Senior AI Engineer, 7.8 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, pinecone, retrieval; skills: Qdrant, Embeddings, Sentence Transformers; open to work; high response rate (76%)."
CAND_0096142,2,0.9387,"Applied ML Engineer, 5.0 yrs, Hyderabad, Telangana; career evidence: a/b test, a/b testing, ranking; skills: Pinecone, NLP, Hugging Face Transformers; open to work; high response rate (84%)."
CAND_0011687,3,0.9182,"Senior NLP Engineer, 7.8 yrs, Indore, Madhya Pradesh; career evidence: a/b test, pinecone, retrieval; skills: Embeddings, Weaviate, OpenSearch; open to work; high response rate (89%)."
CAND_0036184,4,0.8924,"Recommendation Systems Engineer, 6.0 yrs, Trivandrum, Kerala; career evidence: semantic search, faiss, retrieval; skills: Semantic Search, Sentence Transformers, Embeddings; open to work; active this week."
CAND_0009024,5,0.8272,"Search Engineer, 5.2 yrs, Chennai, Tamil Nadu; career evidence: a/b test, a/b testing, ranking; skills: OpenSearch, Recommendation Systems, Qdrant; open to work."
CAND_0044222,6,0.8156,"AI Engineer, 7.7 yrs, Vizag, Andhra Pradesh; career evidence: a/b test, semantic search, faiss; skills: OpenSearch, Hugging Face Transformers, Qdrant; open to work."
CAND_0055905,7,0.7990,"Senior Machine Learning Engineer, 8.1 yrs, London; career evidence: ndcg, mrr, semantic search; skills: Embeddings, OpenSearch, Elasticsearch; open to work; high response rate (87%)."
CAND_0020708,8,0.7984,"Search Engineer, 4.2 yrs, Indore, Madhya Pradesh; career evidence: semantic search, faiss, retrieval; skills: Learning to Rank, Sentence Transformers, LLMs; open to work; high response rate (84%)."
CAND_0000031,9,0.7919,"Recommendation Systems Engineer, 6.0 yrs, Hyderabad, Telangana; career evidence: a/b test, ranking, shipped; skills: Embeddings, Pinecone, Sentence Transformers; open to work; active this week."
CAND_0006418,10,0.7593,"Machine Learning Engineer, 5.7 yrs, Gurgaon, Haryana; career evidence: a/b test, ranking, shipped; skills: Qdrant, Embeddings, Semantic Search; open to work; high response rate (92%)."
CAND_0046064,11,0.7556,"Senior NLP Engineer, 8.9 yrs, Coimbatore, Tamil Nadu; career evidence: ndcg, mrr, a/b test; skills: Pinecone, Elasticsearch, BM25; open to work; high response rate (78%)."
CAND_0037566,12,0.7488,"Machine Learning Engineer, 6.9 yrs, Bangalore, Karnataka; career evidence: pinecone, evaluation framework, embedding; skills: Pinecone, LLMs, Elasticsearch; open to work; immediately available."
CAND_0046525,13,0.7462,"Senior Machine Learning Engineer, 6.1 yrs, Pune, Maharashtra; career evidence: ndcg, mrr, a/b test; skills: Sentence Transformers, Qdrant, Information Retrieval; open to work; active this week."
CAND_0050876,14,0.7332,"Applied ML Engineer, 6.0 yrs, Kolkata, West Bengal; career evidence: a/b test, a/b testing, ranking; skills: Sentence Transformers, Qdrant, FAISS; open to work; active this week."
CAND_0069905,15,0.7168,"Applied ML Engineer, 6.6 yrs, Bhubaneswar, Odisha; career evidence: semantic search, faiss, pinecone; skills: Sentence Transformers, Learning to Rank, Weaviate; open to work; high response rate (78%)."
CAND_0041669,16,0.7154,"Recommendation Systems Engineer, 8.0 yrs, Noida, Uttar Pradesh; career evidence: a/b test, a/b testing, pinecone; skills: Milvus, Semantic Search, Information Retrieval; open to work; high response rate (77%)."
CAND_0039383,17,0.6765,"Applied ML Engineer, 7.1 yrs, Gurgaon, Haryana; career evidence: a/b test, semantic search, faiss; skills: FAISS, Vector Search, Elasticsearch; open to work."
